id,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
1215,1.0228,-2.6896,-0.50894,0.30606,-1.2065,-0.41274,-0.58074,-2.3835
1272,-1.2298,0.76848,-1.2147,0.31698,-1.8485,1.7489,1.3558,-1.1183
1290,0.56691,-2.4634,-1.8475,2.8408,-0.51276,0.72448,-2.3519,-0.3102
1353,0.23776,0.85823,-1.368,-0.82439,-1.0648,-0.11251,0.36368,-2.2392
15,-0.49658,-2.3784,-0.60613,-1.5648,-0.023974,3.6986,-3.0027,2.5268
1502,1.0906,-1.1413,-2.0963,-0.78707,-1.2078,1.2287,-0.1603,-1.3192
1507,-2.7858,1.1917,-0.93533,1.5159,-0.24556,2.3346,0.58823,-1.9197
1508,-1.0949,0.91553,-0.88817,0.46289,-1.1565,0.24359,0.21147,-1.9964
1542,-0.18035,0.68175,-0.8564,0.71274,-2.4944,0.37281,-0.55959,-1.6611
1558,-1.2686,1.118,-1.1817,0.40736,-0.80057,1.9035,-0.38121,-1.7959
1589,-1.064,4.0815,-0.21763,0.79267,-3.1493,-0.41294,-0.9413,-0.60257
1603,0.89496,-2.2837,-0.3441,0.62086,-1.3551,-1.3444,-0.53282,-1.886
1632,0.46742,-6.5955,-2.0411,1.3719,-0.51412,1.9094,-0.035794,1.4183
1681,-0.37718,-1.4354,-1.4028,0.50186,-0.81746,0.90109,-0.22937,-0.18405
1695,0.0082809,-4.3708,-2.1994,1.3174,0.5167,0.61287,-0.28973,0.26268
188,0.39101,-1.864,0.44867,-0.39289,-0.74106,-2.7084,-1.5573,0.11709
197,-0.57419,-0.031465,-0.3116,-0.80625,-1.0533,-1.3506,0.75828,0.34844
200,0.36881,-0.76159,-0.28991,-2.5588,0.50723,-0.43032,0.20019,-0.83108
203,0.17365,3.0502,-1.0261,-3.0705,-1.9096,-0.96553,1.567,0.14482
28,-0.17917,1.2528,-0.22425,-1.5509,-0.78016,-0.64888,-0.21914,-0.20199
310,-0.50877,-4.9037,1.6025,-1.693,-1.0435,-0.34509,0.41473,0.097562
339,-0.4073,-2.513,0.47888,-1.0157,0.47439,-2.5876,-0.20367,1.0063
348,-1.9158,0.54456,1.2841,-2.6398,0.92141,0.49536,0.0093022,-3.0006
382,-2.1857,1.0186,0.66528,-2.0233,0.79032,0.27452,-0.74093,-1.7171
394,-2.3338,-2.1224,0.90399,-1.8903,0.85547,0.55739,0.20054,-1.2277
399,-1.2461,-1.7221,0.26491,-3.1505,1.1929,-0.03275,1.428,-0.061961
601,-1.129,-3.9778,0.38782,-1.6061,1.2522,0.21805,0.25345,-0.81913
635,-2.1279,-4.6361,2.7965,-1.5065,-1.8141,1.4002,-0.048702,1.2414
638,0.8069,-1.1386,1.4494,-2.222,-0.85146,-1.5295,-2.6051,-2.2197
665,-1.0287,-3.1659,1.1988,-2.7653,0.20547,-0.60895,1.7417,0.54188
71,0.99181,-4.6383,-1.7947,-0.37819,1.0374,0.9856,-1.1918,-0.27988
720,-1.507,-1.1751,0.58817,-2.3218,0.60117,0.31636,0.13116,-0.81347
762,-1.5281,-4.2592,2.5475,-2.86,0.032548,2.1934,-1.4255,-0.04879
90,1.1053,0.73854,-0.76823,-3.534,-1.3518,-1.6875,1.2208,1.1333
908,-1.055,-2.8871,-0.7489,1.2014,1.6,-0.51957,-0.10247,-0.507
913,-2.4063,6.06,-1.5978,-0.94753,-0.22136,-0.59607,0.24262,2.586
931,0.85283,-0.52946,-1.6862,-2.033,0.83206,-1.6035,0.74824,-0.11211
932,-3.4266,5.7476,0.87376,1.9521,-1.0948,-1.508,-1.0616,-0.53972
936,-2.1117,-0.8937,-0.95625,0.87501,1.7407,-0.32979,-0.11741,-0.44226
938,-2.8171,3.5136,-0.45151,1.7212,0.62538,-2.0578,-0.92292,-0.19867
945,-1.0666,-1.7204,-0.71026,0.75445,0.26507,-1.3407,0.82595,0.015357
946,-3.2761,-2.0048,-0.43874,1.7308,1.5886,0.21692,0.84679,1.4903
954,-2.5275,-3.8508,-0.23673,2.4109,0.92888,-0.3702,0.87532,1.282
966,-3.3342,0.048664,-0.097554,1.0348,-0.070061,-0.66094,1.2449,0.80154
971,-2.5188,0.87286,-1.0071,0.63756,1.144,-0.69309,0.71219,0.5049
985,-2.722,2.3322,-1.536,0.42517,0.59297,-0.62861,1.4108,1.2794
986,-0.82818,-1.8802,-1.5694,1.8903,1.0531,-2.3753,-1.9126,1.586
987,-0.90198,-3.2151,-0.72219,0.97537,0.73583,-1.3754,0.59259,0.86485
993,-3.051,5.9753,-1.0881,1.1569,-0.48125,-0.80498,-1.379,2.2822
995,-0.23551,-2.6238,0.60915,-0.62558,-2.1744,0.2748,-1.098,4.9783
1235,4.3177,-1.0756,0.93961,1.0291,-1.4017,0.67332,0.65865,0.04896
1243,4.9109,5.5722,-2.7131,-1.1099,1.2783,0.44925,-1.2265,-0.55052
1251,5.3265,5.2147,-2.2814,-1.1813,0.88897,0.16672,-1.2939,-0.57634
1259,2.0625,-1.1085,1.8351,1.956,-1.3858,-0.38659,1.7912,-0.094121
1270,4.1689,-0.59473,-0.81516,-0.36066,0.43753,0.75925,3.0379,0.2384
1291,0.70821,4.5477,0.56099,1.9187,-1.2199,1.7906,0.78262,-0.14976
1306,2.1326,-3.1616,0.7416,3.0218,0.31053,0.55432,0.18174,0.32182
1307,3.1653,-1.8391,2.9447,3.047,-0.84448,-1.0611,-0.12128,-1.6344
1310,3.0596,-0.59556,1.288,1.7279,-1.062,-0.20737,0.56462,-0.94899
1331,3.7076,-0.36997,-0.088795,0.88475,0.060183,0.33472,2.3077,-0.15657
137,2.2114,4.4386,-1.2105,-1.01,1.9463,2.0932,1.8205,1.3078
151,3.5137,-0.00095585,1.92,0.46562,0.094503,-3.0257,-0.856,1.2424
1525,-1.4768,5.0774,2.2835,3.0928,-1.6671,1.0546,0.55776,-0.39829
1652,3.4085,-2.0453,0.62336,1.9946,0.45771,-0.42014,-0.30634,1.1978
194,3.3424,2.6469,1.3988,-1.6103,-1.0612,1.9325,-0.98817,4.8247
202,0.64992,4.2219,1.5888,0.44163,0.54579,-0.24577,1.1477,0.99657
305,3.5156,2.7788,0.82133,-1.2549,2.9627,-1.3735,-1.7561,-0.70523
324,-0.72295,7.2657,1.9807,-0.75605,1.689,1.7938,-1.3129,-0.60922
57,0.41999,0.61319,1.306,2.2743,3.0053,0.12984,0.6261,-0.23384
76,0.66932,-2.2828,1.7178,2.3027,3.4471,1.6192,-0.63076,-0.92698
767,-2.3004,6.1491,3.0147,0.38982,1.1203,1.0438,-0.046109,0.30963
94,1.6779,3.6503,1.0144,-0.42877,0.8882,-0.24454,0.76951,0.42401
