"","value.var","Freq"
"P19440",0.40377288181716,1
"P24821",0.401693949825313,1
"O75629",-0.376720116141942,1
"G3XAM2",0.367548716388166,1
"P27797",0.366115839142251,1
"P05067",0.244379048793521,1
"Q9Y2S2",-0.19287492061805,0.988
"O15232",0.189052773961531,0.99
"Q8NBJ4",0.162198844004546,0.938
"P02790",0.151007126535986,0.95
"A0A075B6K5",-0.124810959260659,0.89
"P60022",0.124301938553796,0.866
"A0A0C4DH34",0.111953920362348,0.8
"O60543",-0.106376953017115,0.814
"P27469",-0.106060634270289,0.826
"Q9NR31",-0.102557910807132,0.802
"Q96S86",0.066566290154353,0.648
"Q16651",0.0391735977301834,0.492
"P30044",-0.0128876043149738,0.37
"P62820",-0.00262598432250341,0.316
