variable,class,mean,sd
1,Comp1,0.561238,0.04258643
2,Comp1,0.602036,0.035660707
3,Comp1,0.645932,0.032291153
4,Comp1,0.690664,0.029218018
5,Comp1,0.738102,0.029364525
6,Comp1,0.759782,0.029484646
7,Comp1,0.768502,0.027333933
8,Comp1,0.773202,0.024405206
9,Comp1,0.775252,0.023175121
10,Comp1,0.776386,0.021725279
20,Comp1,0.781244,0.017779777
30,Comp1,0.776564,0.017214443
40,Comp1,0.769574,0.01760474
50,Comp1,0.7627,0.018629656
60,Comp1,0.756674,0.019751402
1,Comp2,0.796188,0.027513304
2,Comp2,0.797898,0.026751506
3,Comp2,0.800956,0.02534012
4,Comp2,0.802554,0.02402842
5,Comp2,0.803146,0.024601578
6,Comp2,0.803958,0.022589144
7,Comp2,0.80568,0.020540016
8,Comp2,0.806252,0.020184195
9,Comp2,0.807092,0.019386886
10,Comp2,0.807464,0.019303703
20,Comp2,0.814456,0.017801274
30,Comp2,0.815942,0.016443659
40,Comp2,0.815928,0.015753147
50,Comp2,0.816208,0.014949532
60,Comp2,0.816026,0.014389378
1,Comp3,0.814728,0.023058781
2,Comp3,0.826012,0.024507497
3,Comp3,0.833976,0.025647266
4,Comp3,0.838256,0.024171472
5,Comp3,0.840582,0.023977248
6,Comp3,0.841284,0.022864475
7,Comp3,0.841234,0.022247922
8,Comp3,0.841014,0.021835629
9,Comp3,0.840302,0.02204207
10,Comp3,0.839274,0.021985782
20,Comp3,0.82715,0.02092696
30,Comp3,0.817374,0.019967502
40,Comp3,0.811108,0.0197086
50,Comp3,0.805494,0.018917063
60,Comp3,0.80173,0.018617539
