feature,group,mean,sd
GGT1,1,0.191338745,0.194324248
CFI,1,0.540100874,0.42532234
CREG1,1,0.031335658,0.06664978
CALR,1,0.125222311,0.112790578
APP,1,0.251811047,0.256556739
MATN3,1,0.236233576,0.421574622
TNC,1,0.996148714,2.162386045
GOLM1,1,0.070770484,0.083491348
CRYL1,1,0.024935597,0.067837996
IGLV3-9,1,0.048957679,0.140975415
PLTP,1,0.051174655,0.072701082
DEFB1,1,0.828010853,1.288298239
HAPLN3,1,0.687588771,0.497982981
PRSS8,1,0.761195558,0.664568384
PRDX5,1,0.207088042,0.328002287
HPX,1,2.081423247,1.779669557
CIDEA,1,0.124986092,0.169828068
OLAH,1,0.405578405,0.715258642
IGHV4-28,1,1.515559639,4.026444591
SAR1A,1,0.484725574,0.484673277
GC,1,2.72740995,2.920348314
GGT1,2,0.176062016,0.247711959
CFI,2,0.331740332,0.383262472
CREG1,2,0.037456711,0.089251019
CALR,2,0.137618145,0.2532908
APP,2,0.240702529,0.316543019
MATN3,2,0.153144858,0.33649075
TNC,2,1.182935154,3.217371361
GOLM1,2,0.065658787,0.111907997
CRYL1,2,0.02272075,0.052211043
IGLV3-9,2,0.050459811,0.156815823
PLTP,2,0.024797182,0.052098821
DEFB1,2,0.396114424,0.625286946
HAPLN3,2,0.542547674,0.560770479
PRSS8,2,0.631421489,0.691631191
PRDX5,2,0.222863071,0.41806051
HPX,2,0.939832471,0.857840119
CIDEA,2,0.148099374,0.276026485
OLAH,2,0.486987603,0.855322606
IGHV4-28,2,0.534957534,0.842909178
SAR1A,2,0.434062197,0.521756355
GC,2,2.033170589,3.720824415
GGT1,3,0.053005653,0.104334469
CFI,3,0.186816687,0.216010612
CREG1,3,0.080704395,0.153956119
CALR,3,0.047650755,0.070446694
APP,3,0.078497453,0.143990227
MATN3,3,0.044276553,0.068832612
TNC,3,0.048599745,0.096313803
GOLM1,3,0.014510889,0.033702461
CRYL1,3,0.007614429,0.012601598
IGLV3-9,3,0.022352434,0.081859306
PLTP,3,0.029625568,0.072828587
DEFB1,3,0.127660963,0.335392584
HAPLN3,3,0.238098776,0.290180724
PRSS8,3,0.247286668,0.348515463
PRDX5,3,0.091112832,0.12336615
HPX,3,0.744679634,0.797692212
CIDEA,3,0.131856497,0.258981973
OLAH,3,0.173779016,0.306476325
IGHV4-28,3,0.169541308,0.312671983
SAR1A,3,0.384385721,0.451034215
GC,3,2.741219239,3.775251276
