"","Overall"
"P01714",100
"Q6UXA7",89.503
"Q9UNQ0",84.852
"O60543",84.811
"P27797",74.311
"P04114",70.635
"P24821",69.913
"O15232",68.829
"P14324",59.934
"Q16651",59.918
"P04792",59.562
"E5RJB8",58.773
"Q9NV23",58.632
"G3XAM2",57.69
"A0A087WWU8",56.844
"P30044",54.843
"Q92520",54.062
"P19440",53.526
"D6RF35",53.52
"P13639",52.472
"P25311",52.081
"P42330",52.006
"P63000",50.316
"P27105",49.046
"P61626",48.586
"O60664",48.33
"A0A0C4DH36",47.595
"P09467",47.238
"Q9UBI6",47.164
"P05067",46.281
"P68871",45.934
"P19827",45.885
"P34096",45.505
"O75954",45.504
"P43490",45.183
"P36578",44.316
"P16278",43.955
"P62805",43.57
"Q5T985",43.038
"P60174",42.885
"P02647",42.882
"P30101",42.478
"A0A0C4DH68",42.225
"P43652",42.079
"P01034",41.417
"P43251",41.409
"P61026",41.38
"Q99541",41.215
"P19113",40.904
"Q08380",39.583
"P07737",39.12
"Q9UHD0",38.786
"P04003",38.281
"P18669",38.262
"J3KS22",36.748
"Q9H4G4",36.36
"Q06323",35.844
"P62269",35.001
"P02790",34.557
"P08294",33.749
"P05387",33.548
"P26641",33.135
"Q9Y646",32.897
"O75891",32.798
"P40925",32.757
"O00764",32.688
"P0C0L4",32.672
"P01861",32.614
"Q9BWD1",32.304
"X6R3G6",32.297
"Q9NR31",32.202
"P30085",32.142
"P53634",32.103
"P31949",31.823
"P14618",31.783
"P69905",31.692
"D6RHI9",31.677
"S4R3V8",31.589
"A0A0C4DH34",31.449
"P03950",31.227
"P20061",30.808
"P52823",30.763
"P62328",30.444
"D6RC73",30.148
"P08697",29.995
"P62820",29.963
"P61981",29.674
"Q9P2X0",29.626
"Q9UL46",29.622
"Q13410",29.341
"P52209",29.336
"C9J9K3",29.085
"O14745",29.011
"P00491",28.995
"F5GZD9",28.985
"P25774",28.953
"E9PJK1",28.783
"Q9H0U4",28.701
"P45877",28.12
"P36955",27.935
"I3L397",27.711
"Q9UL25",27.705
"P51149",27.702
"P30043",27.439
"P11021",27.123
"Q02818",26.848
"Q15181",26.706
"P07686",26.645
"P60981",26.535
"P07741",26.461
"Q9BRK5",26.252
"P11908",25.972
"P62258",25.825
"E9PDQ1",25.777
"Q68D85",25.62
"P02760",25.362
"P31431",25.107
"P01780",25.021
"P55072",24.936
"Q6X4U4",24.916
"P36871",24.668
"P07237",24.337
"P02671",24.295
"Q96S86",24.17
"P22079",24.151
"P00738",24.041
"Q6UXI9",23.969
"Q5H9A7",23.797
"P02748",23.588
"O94760",23.243
"Q9BXJ1",23.202
"P21399",22.952
"P07858",22.791
"P0C0L5",22.654
"Q02487",22.569
"Q9UHL4",22.43
"P01619",22.009
"Q16555",21.807
"P01008",21.725
"P01133",21.324
"P07195",20.991
"A0A075B7B8",20.908
"P15311",20.765
"Q14195",20.585
"P04075",20.459
"Q96FQ6",20.123
"P02751",20.063
"Q13228",19.688
"P26038",19.556
"P01877",19.544
"Q99538",19.168
"Q01459",19.116
"Q15904",18.701
"O00391",18.451
"P61019",18.344
"P19652",17.627
"P0DJI8",17.341
"O15498",17.198
"P61224",17.159
"P32119",17.097
"A6NNI4",16.668
"P07900",16.339
"Q8N474",16.309
"P31946",16.239
"E7EU05",16.227
"P61020",15.783
"P10451",15.769
"P17900",15.605
"Q96KP4",15.597
"P02749",15.56
"P00441",15.393
"Q9NZP8",15.356
"Q02809",15.244
"Q9NZH0",15.183
"P49189",15.176
"P08238",15.143
"Q9HB40",15.129
"P08603",14.956
"P63313",14.523
"P07602",14.378
"P01024",14.353
"Q8NBJ7",13.863
"S4R371",13.365
"P51148",13.339
"P30041",13.11
"P36222",13.036
"Q12841",12.997
"P18065",12.987
"P02675",12.97
"P14550",12.851
"Q86SQ4",12.728
"P01023",12.651
"P01591",12.616
"P58499",12.522
"P63104",12.444
"P00747",12.241
"P04745",12.14
"A0A0C4DGN4",12.134
"P30086",11.998
"P04217",11.993
"O00299",11.974
"Q96FE7",11.936
"P06727",11.922
"Q14118",11.8
"P05155",11.634
"P23528",11.601
"Q99519",11.449
"P14625",11.395
"A0A087X1J7",10.974
"P12273",10.839
"P02787",10.749
"O00560",10.737
"P06733",10.687
"P04066",10.681
"Q6PCB0",10.424
"P15328",10.381
"Q92876",10.296
"P28799",10.246
"P49327",10.192
"P60953",9.9901
"P62937",9.7028
"P10643",9.6305
"P01009",9.592
"H3BVI7",9.1733
"P01019",8.7901
"Q16851",8.683
"Q14624",8.638
"H0YCU0",8.3233
"P84077",8.1376
"Q99497",8.0482
"O00300",7.9709
"O00592",7.9591
"P00558",7.9189
"P05090",7.7733
"P01011",7.6508
"P01859",7.3367
"O75874",7.3101
"P17066",7.2072
"P61586",6.9763
"E9PNW4",6.8773
"P54802",6.7485
"Q14512",6.3679
"P19875",5.826
"P02766",5.0025
"Q9NP72",4.7816
"A0A0C4DH38",4.6534
"P04406",4.0704
"P50395",3.4744
"P02765",3.4687
"Q9BY76",3.4514
"Q9Y6Y9",3.0812
"P50591",0
